Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
33,8.0,0.5739,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",tadi baca berita uea menghibahkan vaksin covid ada yang punya datanya sekarang nkri ini sudah dapat berapa vaksin dan disalurkan untuk siapa saja jangan sampai dibisnisin tuh
34,5.0,0.8483,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",vaksin astrazeneca sama laju dengan sambal nyet
35,1.0,0.6401,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",vaksin covid buatan sinopharm sudah mendapatkan izin penggunaan darurat dari badan pom indonesia pada april
36,1.0,0.2841,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",sinopharm adalah tipe vaksin covid ketiga yang digunakan di indonesia selain vaksin dari sinovac yang juga bekerjasama dengan bio farma dan dari astrazeneca
37,10.0,0.8698,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",just checking vaksin sinovac bukannya sudah dianjurkan hari jaraknya
38,1.0,0.4787,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",to be short kata mui vaksin sinovac ini hukumnya halal kata idi vaksin ini efektif
39,4.0,0.5145,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",alhamdulillah lulus kuliah tepat waktu dapat kerja walaupun masih part time ingin dapat kerjaan tetap bisa kebagian vaksin covid dan sehat selalu
40,5.0,0.7643,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",harap yang dftr vaksin astrazeneca rmi anok nayu kito
41,4.0,0.2768,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",pendapat rakyat tetap terbelah menyikapi vaksin covid mengapa demikian pasti ada penyebabnya donk apa itu pemerintah yang diduga tidak jujur kemana clean and good governance
42,10.0,0.6506,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",bambang menurut penelitian terakhir yang bisa di peer review vaksin covid pfizer moderna astrazeneca jj sinovac sinopharm cansino sputnik dan lain-lain mengurangi kemungkinan pemberatan gejala covid sehingga mengurangi tekanan thdp fasilitas kesehatan sampi di sini terima tidak
43,4.0,0.4853,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",bekas vaksin ini ternyata lebih pegal dibanding vaksin covid
44,4.0,0.586,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin corona buat kecanduan tidur
45,1.0,0.6335,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",ketika vaksin sinovac dan sejenis nya masuk gampang banget bpom meloloskan bpom sbnrnya badan profesional obat mancanegara iya
46,4.0,0.5891,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",menurut penelitian terakhir vaksin covid apapun merek dan konsep nya terbukti mencegah gejala berat kalau terinfeksi covid kalau anda mau coba coba dengan virus covid tanpa vaksin yooo silahkan dan saya kira anda harus berani nyatakan siapa tidak ditanggung negara
47,1.0,0.3042,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",kenya seorang dokter penentang vaksin corona meninggal akibat covid harian jogja
48,8.0,0.6756,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",mulai dari walikota dulu keq ujug ujug nyalpres mimpi toh apa efek vaksin covid
49,4.0,0.4799,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",yah silahkan saja anda pilih cara dapat imunitas dari kena covid beneran asal anda jangan minta negara tanggung pengobatan covid anda jika anda menolak vaksin covid
50,9.0,0.4306,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",tadi ada slot kosong untuk vaksin astrazeneca last aku cancel maleh ah
51,4.0,0.5027,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",daftar vaksin covid astrazeneca begitu begitu begitu beli sambal nyet
52,6.0,0.5831,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",kenapa vaksin astrazeneca ini x masuk dalam program vaksinasi kebangsaan
53,5.0,0.4719,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",dona daftar vaksin untuk the whole family semoga dipermudahkan
54,5.0,0.6798,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",kepada mereka yang telah berdaftar untuk mendapat suntikan vaksin astrazeneca goodluck saya ucapkan
55,5.0,0.6111,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",nak tanya vaksin astrazeneca sudah selamat untuk digunakan ke seram ini
56,4.0,0.8181,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",ramai buat story sudah dapat vaksin astrazeneca
57,4.0,0.6894,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",south korea belum vaksin covid massal yah saya tidak ngikutin beritanya
58,1.0,0.4842,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",done mohon vaksin astrazeneca for mom and me yeayy alhamdulillah
59,9.0,0.4988,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",paseypa kita kena daftar vaksin astrazeneca tu
60,10.0,0.899,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",nah kemarin saya dapat vaksin sinovac tapi jarak dari vaksin ke itu hari itu tidak apa-apa iya
61,9.0,0.6533,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",tl dipenuhi dengan slot vaksin astrazeneca
62,4.0,0.8862,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",server vaksin covid ini pinjam server uitm ke mat
63,4.0,0.5067,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",ramai ke yang daftar untuk vaksin astrazeneca should i daftar also
64,9.0,0.4793,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",ps benda tidak penting pun saat dh sold out vaksin covid yang penting ini apetah lagi
65,9.0,0.4098,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",vaksin astrazeneca begitu sambalnyet
66,10.0,0.4796,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",disatu sisi bersyukur mamake sebentar lagi dapat giliran vaksin covid dari kantornya disisi lain iri woii saya kapan
67,4.0,0.9521,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",assalamu alaikum maaf min saya driver ojol mau daftar vaksin covid domisili kelurahan sukamaju kecamatan cilodong datang daftar dimana iya trimakasih
68,4.0,0.9521,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",assalamu alaikum maaf min saya driver ojol mau daftar vaksin covid domisili kelurahan sukamaju kecamatan cilodong datang daftar dimana iya trimakasih
69,6.0,0.7039,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",calon pendonor darah sudah bisa mendonorkan darah minggu setelah mendapatkan vaksin covid dosis kedua iya kakak
70,4.0,0.8503,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",dengan vaksin covid bangsa indonesia pasti akan semakin sehat dan bebas dari berbagai virus kiranya tuhan yang maha kuasa menyertai melindungi dan memberkati rakyat indonesia
71,4.0,0.8231,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",juga mengandung hal yang sama dan mui sudah memberikan fatwanya mengapa vaksin umrah dan haji tidak direspon dengan penolakan yang sama dengan vaksin covid beliau tidak memberikan penjelasan yang jelas intinya saya berharap walaupun benci pemerintah ambillah informasi dari kedua
72,6.0,0.4469,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",nah setelah itu tbtb berpindah saja kmu sudah di rs katanya mau imunisasi katanya mau suntik vaksin corona dan saya kabur karena saya takut suntik dn ternyata jk ngekor dia juga takut suntik dann tamat karena saya terlanjur bangun grgr kaki saya kegeser dn dimimpi saya kesandung
73,5.0,0.4911,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",teman saya kena efek samping vaksin sinovac seminggu pasca penyuntikan mata kanannya buta dan sekarang lagi proses operasi
74,4.0,0.6166,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",apakah boleh memetik keuntungan uang dari pengadaan test antigen swab dan vaksin covid jika boleh sampai di mana ambang kewajarannya siapa penentu batas kewajaran itu
75,4.0,0.8182,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",siapa yang paling diuntungkan dari pengadaan vaksin covid
76,4.0,0.617,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",den kalau vaksin nanti x iya habis vaksin corona terus vaksin goblog nya juga den
77,5.0,0.3924,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",ini kalian belum tidur atau mau sahur kok kok masih melek saya sempat tidur sebentar besok pagi saya mau suntik vaksin corona doakan setelahnya semoga tidak ngantuk dan baik saja di jakarta sudah mulai gelombang untuk generasi aktif umur
78,4.0,0.6632,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin sinovac tidak efektif melawan covid varian baru berarti terminogi telah divaksin belum tentu aman jika mutasi virus baru tetap bisa masuk benahi dulu sistim imigrasi dan satgas baru pendidikan
79,7.0,0.909,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",kuyang yang up vaksin corona orang gagal di sbmptn gelombang itu sie aku hafalnya
80,4.0,0.8179,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",sik pecayak vaksin covid
81,4.0,0.9152,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",tekezutttt bah dolok bukan main nganok orang yang sik percayak vaksin kinek dengar berita palsu orang mati segal vaksin covid alu sik pecayak covid iya aku madah lawak
82,8.0,0.5056,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",bentuk komitmen itu ditunjukkan dengan mengupayakan ketersediaan vaksin covid melalui berbagai diplomasi baik antarnegara bilateral dan banyak negara multilateral seperti bersama covax facility lindungi diri lindungi negeri
83,4.0,0.6069,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",saat ini belum ada vaksin covid untuk anak anak lebih baik kualitas daring yang lebih ditingkatkan ada guru yang rela menghabiskan waktu berjam jam untuk menemani menerangkan materi tanpa memikirkan kuota tapi lebih banyak yang tidak peduli
84,10.0,0.8323,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",sudah vaksin influenza tahun ini dan sekarang masih kena flu plus sakit kepalanya begitupun vaksin covid sudah vaksin bukan brrti tidak akan kena lagi
85,4.0,0.3539,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",intinya pasien memaksa mencari merek tertentu pdahal kan merek lain bnyak yang kandungan nya sama contohnya pas musim vaksin corona kmaren banyak pasien yang maksa harus dapat sanmol
86,4.0,0.8409,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",salah satu yang mendukung lambatnya vaksin covid di daerah adalah jenis sediaan vaksin yang bukan lagi sediaan ampul ml lagi tapi sediaan vial ml di mana kalau mau vaksin nunggu orang terkumpul kelipatannya
87,10.0,0.8182,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",ngomong-ngomong aku lagi hari vaksin sinovac ke kakak
88,5.0,0.5902,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",yang sudah kebagian vaksin covid apa rasanya sakit tidak badannya demam pegal
89,4.0,0.7783,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",indonesia justru kecaman dari masyarakat yang datang mulai dari meragukan kualitas vaksin tersebut hingga menanyakan keamanan vaksin covid ini untuk menjawab keresahan tersebut departemen kastrat bem ff ui akan mengadakan diskusi publik pada
90,10.0,0.2987,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",habis vaksin covid boleh minum susu tidak sih sudah searching om google tapi kok tidak yakin iya ingin minum susu dingin
91,5.0,0.362,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",dari pagi tadi sudah tunggu update vaksin sinovac ini sembang janji bangun tido sudah update
92,10.0,0.8701,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",vaksin covid kayaknya akan harus tahunan seperti vaksin flu
93,6.0,0.3267,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",vaksin covid bertujuan untuk menurunkan resiko sakit bergejala rawat inap masuk icu amp kematian apabila terinfeksi sehingga dapat mengurangi penyebaran virus tapi selain dari vaksin kita juga tetap harus melakukan protokol kesehatan semaksimal mungkin amp jangan sampai lengah
94,4.0,0.6146,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin covid sudah ada jadi kapan vaksin anti kena ghosting di ciptakan padahal korbannya tiap tahun bertambah banyak
95,4.0,0.9394,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",min saya terima sms terkait vaksin covid ke saya namun saat ini saya sudah berada di daerah rumah karena wfh dan jauh dari tempat pelaksanaan apakah vaksin ke bisa dilakukan di tempat yang dekat dengan rumah meskipun sudah ada jadwal dan tempat yang disediakan
96,4.0,0.8182,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",kapan vaksin covid untuk masyarakat umum dimulai
97,10.0,0.7679,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",zaman sakit penyakit bawaan oh ini karena covid ketika di vaksin covid ini bukan karena vaksinnya ini karena penyakit bawaan dan lain-lain
98,2.0,0.629,"temu, bayi, kontra, vaksin, desa, covid, halal, cacar, beli, adil",setaun tidak ada yang ngehubungin duluan ini para adek sepupu mau lebaran mulai pada kontak lagi cakmano kabar abang kito ko lanjut basa basi dikit bertanya progres vaksin covid dan topik terkini sebentar lagi ujungnya pada tagih thr yaqin ana
99,4.0,0.568,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",habis di suntik vaksin covid dan efek sampingnya serang ke otak kekurangan asupan dana otaknya skrng di panggil dok bukan karena dokter tapi kodok
100,4.0,0.5296,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",semoga proses suntik vaksin covid ini lancar dan kebijakan luar negeri arab saudi terhadap haji indonesia terbuka insyaallah proses haji akan lancar
101,9.0,0.3657,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",aku harus bergegas ini soalnya amh aku rendah tapi he eh iya usaha dulu saja soal dikasih tidak bagaimana yang di atas saja hamdallah juga sudah vaksin covid sih sekali padahal belum seminggu kerasa bedanya apalagi di puasa begini mencukupi gizi dari makanan susah emang iya
102,4.0,0.6251,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",please urgent mau tanya kalau yang sudah vaksin covid x apa perlu ditast swab anti gen tidak
103,8.0,0.7215,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",ada vaksin buat ngilangin penyakit aji selagi kayaknya itu lebih dibutuhin daripada vaksin corona nya
104,7.0,0.5123,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",sudah kumpulin niat dari kemarin buat vaksin covid besok eh tidak sengaja nonton berita tentang guru yang sudah divaksin terus lumpuh niat yang sudah dikumpulin seketika hancur sudah
105,4.0,0.4491,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",hal niy dilakukan untuk dapat menguji keamanan vaksin covid dalam tubuh manusia
106,8.0,0.5125,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",hal iniih dilakukan kamu dapat menguji keamanan vaksin covid dlam tubuh mnusia
107,4.0,0.6528,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",kata ini nyoman penelitian tahap awal vaksin covid yang disuntikkan ke hewan percobaan di makmal amp kamu mengetahui efektivitas amp keamanannya
108,4.0,0.5942,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",ingin vaksin covid tapi gatau daftar kemana sudah mungkin ada kenalan orang kemenkes
109,4.0,0.5672,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",kata ini nyoman penelitian tahap awal vaksin covid yang disuntikkan ke hewan percobaan di laboratorium dan untuk mengetahui efektivitas dan keamanannya
110,4.0,0.449,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",apakah setiap rumah sakit menyediakan vaksin covid
111,8.0,0.5011,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",hbs vaksin covid tahap ke ngantukkk banget smpk tdr siang jm mlmny insom
112,4.0,0.744,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",assalamualaikum pak mohon bantuannya sebagai bagian dari pekerja migran indonesia khususnya kapal pesiar kami warga kabupaten bandung agak kesulitan mendapatkan vaksin covid sebagai persyaratan untuk kembali bekerja sudah mau satu tahun ini pak
113,8.0,0.5045,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",pak ridwan kamil punten kami dari para pekerja migran indonesia khususnya pelaut kapal pesiar agak kebingungan untuk mendapatkan vaksin covid sebagai persyaratan untuk kembali bekerja pak mohon bantuannya
114,8.0,0.8651,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",tentang hoaks covid amp vaksin covid kokk nanti wawancaranya via chat kok bukan telepon atau vcall wkwkwwk aneh iya
115,8.0,0.6592,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",ternyata orang yang sudah vaksin covid kedua masih mungkin positif covid karena itu kita tetap harus taat prokes m tanpa kecuali walaupun sudah vaksin
116,6.0,0.4807,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",kita butuh sejian ratus juta per hari ini mei sudah berapa banyak juta kita punya stock vaksin dan berapa banyak juta yang sudah di vaksin saya belum mendapatkan vaksin apakah kamu sudah mendapatkan vaksin covid
117,6.0,0.4307,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",tahun ini belum donor darah sama sekali bulan ini vaksin covid dosis kedua habis itu selesai
118,8.0,0.4575,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",ingin vaksin covid juga dooooong biar setidaknya lebih tenang bagaimana iya
119,10.0,0.7034,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",loh iya iyalah untung anda bukan penyidik kalau penyidik anda juga di tanya tentang vaksin sinovac cina yang sudah mengalir di darah anda cintailah ploduk ploduk owe
120,6.0,0.7727,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",harapnya vaksin covid sampai ke sini juga
121,9.0,0.5218,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",oh iya besok vaksin covid lagi lunas iya tapi vaksin itu bisa berkali tidak sih cz aku tiap tahun selalu suntik vaksin influenza sama kantorku
122,10.0,0.8182,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",tapi ini vaksin sinovac nya mau ditarik kakak
123,4.0,0.6138,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",lawak ada manusia tidak percaya covid tapi doi ikutan antri vaksin covid lawakkkkkmmm
124,6.0,0.6466,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",pemerintah telah mendatangkan juta vaksin astrazeneca dan direncanakan akan datang lagi sebanyak juta vaksin astrazeneca sehingga totalnya ada juta vaksin yang diperoleh dari skema multilateral tersebut
125,5.0,0.52,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",wew habis vaksin ntahlah tidak kerasa apa mungkin efek lambat bereaksi hari lagi vaksin covid ke
126,7.0,0.4621,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",menjadi finish produk sebanyak dosis yang sampai dengan jumlah vaksin covid yang sudah berhasil diproduksi sebanyak dosis
